name,personId,postseason_games,reg_season_games,tour_date_postseason,tour_date_reg_season,tot_games,tot_tour_date_games,tot_tour_date_percent,postseason_tour_date_percent,reg_season_tour_date_percent
Anthony Black,1641710,6,76,1,9,82,10,0.12195121951219512,0.16666666666666666,0.11842105263157894
Anthony Davis,203076,2,51,1,12,53,13,0.24528301886792453,0.5,0.23529411764705882
Anthony Edwards,1630162,15,79,5,27,94,32,0.3404255319148936,0.3333333333333333,0.34177215189873417
Anthony Gill,1630264,0,50,0,1,50,1,0.02,NA,0.02
Anton Watson,1641817,0,9,0,0,9,0,0,NA,0
Antonio Reeves,1641810,0,43,0,3,43,3,0.06976744186046512,NA,0.06976744186046512
Ariel Hukporti,1630574,3,25,0,0,28,0,0,0,0
Armel Traore,1642422,0,9,0,0,9,0,0,NA,0
Ausar Thompson,1641709,6,59,0,4,65,4,0.06153846153846154,0,0.06779661016949153
Austin Reaves,1630559,5,71,3,19,76,22,0.2894736842105263,0.6,0.2676056338028169
Ayo Dosunmu,1630245,0,46,0,9,46,9,0.1956521739130435,NA,0.1956521739130435
Bam Adebayo,1628389,6,78,1,16,84,17,0.20238095238095238,0.16666666666666666,0.20512820512820512
Baylor Scheierman,1631248,4,31,0,1,35,1,0.02857142857142857,0,0.03225806451612903
Ben Sheppard,1641767,21,63,0,1,84,1,0.011904761904761904,0,0.015873015873015872
Ben Simmons,1627732,5,50,0,0,55,0,0,0,0
Bennedict Mathurin,1631097,22,72,3,18,94,21,0.22340425531914893,0.13636363636363635,0.25
Bilal Coulibaly,1641731,0,59,0,13,59,13,0.22033898305084745,NA,0.22033898305084745
Bismack Biyombo,202687,0,26,0,0,26,0,0,NA,0
Blake Wesley,1631104,0,56,0,0,56,0,0,NA,0
Bobby Portis,1626171,5,51,2,11,56,13,0.23214285714285715,0.4,0.21568627450980393
Bobi Klintman,1641752,0,8,0,0,8,0,0,NA,0
Bogdan Bogdanovic,203992,7,53,0,12,60,12,0.2,0,0.22641509433962265
Bol Bol,1629626,0,36,0,1,36,1,0.027777777777777776,NA,0.027777777777777776
Bones Hyland,1630538,0,24,0,1,24,1,0.041666666666666664,NA,0.041666666666666664
Bradley Beal,203078,0,53,0,8,53,8,0.1509433962264151,NA,0.1509433962264151
Branden Carlson,1642382,0,33,0,1,33,1,0.030303030303030304,NA,0.030303030303030304
Brandin Podziemski,1641764,13,64,4,11,77,15,0.19480519480519481,0.3076923076923077,0.171875
Brandon Boston Jr.,1630527,0,42,0,9,42,9,0.21428571428571427,NA,0.21428571428571427
Brandon Clarke,1629634,0,63,0,0,63,0,0,NA,0
Brandon Ingram,1627742,0,18,0,5,18,5,0.2777777777777778,NA,0.2777777777777778
Brandon Miller,1641706,0,27,0,14,27,14,0.5185185185185185,NA,0.5185185185185185
Brandon Williams,1630314,2,33,0,0,35,0,0,0,0
Braxton Key,1630296,5,3,0,0,8,0,0,0,0
Brice Sensabaugh,1641729,0,70,0,7,70,7,0.1,NA,0.1
Bronny James,1642355,2,26,0,1,28,1,0.03571428571428571,0,0.038461538461538464
Brook Lopez,201572,5,80,0,10,85,10,0.11764705882352941,0,0.125
Bruce Brown,1628971,0,40,0,1,40,1,0.025,NA,0.025
Bruno Fernando,1628981,0,17,0,0,17,0,0,NA,0
Bryce McGowens,1631121,0,13,0,0,13,0,0,NA,0
Bub Carrington,1642267,0,81,0,18,81,18,0.2222222222222222,NA,0.2222222222222222
Buddy Hield,1627741,13,82,4,11,95,15,0.15789473684210525,0.3076923076923077,0.13414634146341464
CJ McCollum,203468,0,56,0,22,56,22,0.39285714285714285,NA,0.39285714285714285
Cade Cunningham,1630595,6,70,3,18,76,21,0.27631578947368424,0.5,0.2571428571428571
Caleb Houstan,1631216,6,57,0,1,63,1,0.015873015873015872,0,0.017543859649122806
Caleb Martin,1628997,2,45,0,4,47,4,0.0851063829787234,0,0.08888888888888889
Cam Christie,1642353,3,12,0,0,15,0,0,0,0
Cam Reddish,1629629,0,33,0,0,33,0,0,NA,0
Cam Spencer,1642285,0,25,0,0,25,0,0,NA,0
Cam Thomas,1630560,0,25,0,11,25,11,0.44,NA,0.44
Cam Whitmore,1641715,3,50,0,7,53,7,0.1320754716981132,0,0.14
Cameron Johnson,1629661,0,57,0,12,57,12,0.21052631578947367,NA,0.21052631578947367
Cameron Payne,1626166,14,72,0,4,86,4,0.046511627906976744,0,0.05555555555555555
Caris LeVert,1627747,2,64,2,6,66,8,0.12121212121212122,1,0.09375
Cason Wallace,1641717,23,69,1,4,92,5,0.05434782608695652,0.043478260869565216,0.057971014492753624
Charles Bassey,1629646,0,36,0,0,36,0,0,NA,0
Chet Holmgren,1631096,23,32,4,4,55,8,0.14545454545454545,0.17391304347826086,0.125
Chris Boucher,1628449,0,50,0,1,50,1,0.02,NA,0.02
Chris Duarte,1630537,0,17,0,0,17,0,0,NA,0
Chris Livingston,1641753,2,22,0,1,24,1,0.041666666666666664,0,0.045454545454545456
Chris Paul,101108,0,80,0,9,80,9,0.1125,NA,0.1125
Christian Braun,1631128,14,79,2,5,93,7,0.07526881720430108,0.14285714285714285,0.06329113924050633
Christian Koloko,1631132,0,36,0,0,36,0,0,NA,0
Chuma Okeke,1629643,3,9,0,0,12,0,0,0,0
Clint Capela,203991,0,55,0,4,55,4,0.07272727272727272,NA,0.07272727272727272
Coby White,1629632,1,74,1,30,75,31,0.41333333333333333,1,0.40540540540540543
Cody Martin,1628998,0,53,0,2,53,2,0.03773584905660377,NA,0.03773584905660377
Cody Williams,1642262,0,49,0,2,49,2,0.04081632653061224,NA,0.04081632653061224
Colby Jones,1641732,0,38,0,0,38,0,0,NA,0
Cole Anthony,1630175,6,65,0,12,71,12,0.16901408450704225,0,0.18461538461538463
Cole Swider,1631306,0,10,0,0,10,0,0,NA,0
Colin Castleton,1630658,0,26,0,1,26,1,0.038461538461538464,NA,0.038461538461538464
Collin Gillespie,1631221,0,33,0,1,33,1,0.030303030303030304,NA,0.030303030303030304
Collin Sexton,1629012,0,62,0,15,62,15,0.24193548387096775,NA,0.24193548387096775
Corey Kispert,1630557,0,61,0,9,61,9,0.14754098360655737,NA,0.14754098360655737
Cory Joseph,202709,6,49,0,0,55,0,0,0,0
Craig Porter Jr.,1641854,6,51,0,1,57,1,0.017543859649122806,0,0.0196078431372549
Cui Yongxi,1642385,0,5,0,0,5,0,0,NA,0
D'Angelo Russell,1626156,0,58,0,19,58,19,0.3275862068965517,NA,0.3275862068965517
D.J. Carton,1630618,0,4,0,0,4,0,0,NA,0
DaQuan Jeffries,1629610,0,45,0,3,45,3,0.06666666666666667,NA,0.06666666666666667
Daeqwon Plowden,1631342,0,6,0,0,6,0,0,NA,0
Daishen Nix,1630227,0,3,0,0,3,0,0,NA,0
Dalano Banton,1630625,0,67,0,9,67,9,0.13432835820895522,NA,0.13432835820895522
Dalen Terry,1631207,1,73,0,0,74,0,0,0,0
Dalton Knecht,1642261,2,76,0,3,78,3,0.038461538461538464,0,0.039473684210526314
Damian Lillard,203081,3,59,2,17,62,19,0.3064516129032258,0.6666666666666666,0.288135593220339
Damion Baugh,1641878,0,15,0,5,15,5,0.3333333333333333,NA,0.3333333333333333
Damion Lee,1627814,0,25,0,0,25,0,0,NA,0
Daniel Gafford,1629655,2,57,0,0,59,0,0,0,0
Daniel Theis,1628464,0,38,0,0,38,0,0,NA,0
Daniss Jenkins,1642450,0,7,0,0,7,0,0,NA,0
Dante Exum,203957,2,20,0,2,22,2,0.09090909090909091,0,0.1
Dario Saric,203967,0,16,0,1,16,1,0.0625,NA,0.0625
Dariq Whitehead,1641727,0,20,0,2,20,2,0.1,NA,0.1
Darius Garland,1629636,5,75,2,19,80,21,0.2625,0.4,0.25333333333333335
David Duke Jr.,1630561,0,6,0,0,6,0,0,NA,0
